Ae,Ae_units,Aw,Aw_units,le,le_units,lt,lt_units,V,V_units,AeAw,AeAw_units,Modelo
0.312,cm**2,0.26,cm**2,4.28,cm,3.8,cm,1.34,cm**3,0.08,cm**4,EE-20
0.60,cm**2,0.80,cm**2,6.7,cm,5.6,cm,4.00,cm**3,0.48,cm**4,EE-30/7
1.20,cm**2,0.85,cm**2,6.7,cm,6.7,cm,8.00,cm**3,1.02,cm**4,EE-30/14
1.81,cm**2,1.57,cm**2,9.7,cm,8.7,cm,17.10,cm**3,2.84,cm**4,EE-42/15
2.40,cm**2,1.57,cm**2,9.7,cm,10.5,cm,23.30,cm**3,3.77,cm**4,EE-42/20
3.54,cm**2,2.50,cm**2,1.2,cm,11.6,cm,42.50,cm**3,8.85,cm**4,EE-55
2.66,cm**2,5.48,cm**2,14.70,cm,10.14,cm,39.10,cm**3,14.57,cm**4,EE-65/13
5.32,cm**2,3.70,cm**2,14.70,cm,10.14,cm,78.20,cm**3,19.68,cm**4,EE-65/26
7.98,cm**2,3.70,cm**2,14.70,cm,10.14,cm,117.30,cm**3,29.53,cm**4,EE-65/39
6.45,cm**2,9.68,cm**2,21.77,cm,15.37,cm,140.45,cm**3,62.43,cm**4,EE-76/25
19.35,cm**2,9.68,cm**2,21.77,cm,32.13,cm,421.35,cm**3,187.30,cm**4,EE-76/76
