AWG,Dcu,Dcu_units,Acu,Acu_units,Dw,Dw_units,Aw,Aw_units,Rho20C,Rho20C_units,Rho100C,Rho100C_units,IDC450,IDC450_units
10,0.259,cm,0.052620,cm**2,0.273,cm,0.058572,cm**2,0.000033,Ω/cm,0.000044,Ω/cm,23.679,A
11,0.231,cm,0.041729,cm**2,0.244,cm,0.046738,cm**2,0.000041,Ω/cm,0.000055,Ω/cm,18.778,A
12,0.205,cm,0.033092,cm**2,0.218,cm,0.037309,cm**2,0.000052,Ω/cm,0.000070,Ω/cm,14.892,A
13,0.183,cm,0.026243,cm**2,0.195,cm,0.029793,cm**2,0.000066,Ω/cm,0.000080,Ω/cm,11.809,A
14,0.163,cm,0.020811,cm**2,0.174,cm,0.023800,cm**2,0.000083,Ω/cm,0.000111,Ω/cm,9.365,A
15,0.145,cm,0.016504,cm**2,0.156,cm,0.019021,cm**2,0.000104,Ω/cm,0.000140,Ω/cm,7.427,A
16,0.129,cm,0.013088,cm**2,0.139,cm,0.015207,cm**2,0.000132,Ω/cm,0.000176,Ω/cm,5.890,A
17,0.115,cm,0.010379,cm**2,0.124,cm,0.012164,cm**2,0.000166,Ω/cm,0.000222,Ω/cm,4.671,A
18,0.102,cm,0.008231,cm**2,0.111,cm,0.009735,cm**2,0.000209,Ω/cm,0.000280,Ω/cm,3.704,A
19,0.091,cm,0.006527,cm**2,0.100,cm,0.007794,cm**2,0.000264,Ω/cm,0.000353,Ω/cm,2.937,A
20,0.081,cm,0.005176,cm**2,0.089,cm,0.006244,cm**2,0.000333,Ω/cm,0.000445,Ω/cm,2.329,A
21,0.072,cm,0.004105,cm**2,0.080,cm,0.005004,cm**2,0.000420,Ω/cm,0.000561,Ω/cm,1.847,A
22,0.064,cm,0.003255,cm**2,0.071,cm,0.004013,cm**2,0.000530,Ω/cm,0.000708,Ω/cm,1.465,A
23,0.057,cm,0.002582,cm**2,0.064,cm,0.003221,cm**2,0.000668,Ω/cm,0.000892,Ω/cm,1.162,A
24,0.051,cm,0.002047,cm**2,0.057,cm,0.002586,cm**2,0.000842,Ω/cm,0.001125,Ω/cm,0.921,A
25,0.045,cm,0.001624,cm**2,0.051,cm,0.002078,cm**2,0.001062,Ω/cm,0.001419,Ω/cm,0.731,A
26,0.040,cm,0.001287,cm**2,0.046,cm,0.001671,cm**2,0.001339,Ω/cm,0.001789,Ω/cm,0.579,A
27,0.036,cm,0.001021,cm**2,0.041,cm,0.001344,cm**2,0.001689,Ω/cm,0.002256,Ω/cm,0.459,A
28,0.032,cm,0.000810,cm**2,0.037,cm,0.001083,cm**2,0.002129,Ω/cm,0.002845,Ω/cm,0.364,A
29,0.029,cm,0.000642,cm**2,0.033,cm,0.000872,cm**2,0.002685,Ω/cm,0.003587,Ω/cm,0.289,A
30,0.025,cm,0.000509,cm**2,0.030,cm,0.000704,cm**2,0.003386,Ω/cm,0.004523,Ω/cm,0.229,A
31,0.023,cm,0.000404,cm**2,0.027,cm,0.000568,cm**2,0.004269,Ω/cm,0.005704,Ω/cm,0.182,A
32,0.020,cm,0.000320,cm**2,0.024,cm,0.000459,cm**2,0.005384,Ω/cm,0.007192,Ω/cm,0.144,A
33,0.018,cm,0.000254,cm**2,0.022,cm,0.000371,cm**2,0.006789,Ω/cm,0.009070,Ω/cm,0.114,A
34,0.016,cm,0.000201,cm**2,0.020,cm,0.000300,cm**2,0.008560,Ω/cm,0.011437,Ω/cm,0.091,A
35,0.014,cm,0.000160,cm**2,0.018,cm,0.000243,cm**2,0.010795,Ω/cm,0.014422,Ω/cm,0.072,A
36,0.013,cm,0.000127,cm**2,0.016,cm,0.000197,cm**2,0.013612,Ω/cm,0.018186,Ω/cm,0.057,A
37,0.011,cm,0.000100,cm**2,0.014,cm,0.000160,cm**2,0.017165,Ω/cm,0.022932,Ω/cm,0.045,A
38,0.010,cm,0.000080,cm**2,0.013,cm,0.000130,cm**2,0.021644,Ω/cm,0.028917,Ω/cm,0.036,A
39,0.009,cm,0.000063,cm**2,0.012,cm,0.000106,cm**2,0.027293,Ω/cm,0.036464,Ω/cm,0.028,A
40,0.008,cm,0.000050,cm**2,0.010,cm,0.000086,cm**2,0.034417,Ω/cm,0.045981,Ω/cm,0.023,A
41,0.007,cm,0.000040,cm**2,0.009,cm,0.000070,cm**2,0.043399,Ω/cm,0.057982,Ω/cm,0.018,A
